Name,WorkflowType,Link,Venue,Year,Task,OutcomeQuality_Accuracy,OutcomeQuality_VerifiableCreativity,OutcomeQuality_Creativity,ResourceConstraints_Expense,ResourceConstraints_Latency,QualityControl_AppropriateSubtasks,QualityControl_WorkerInstruction,QualityControl_VerificationStep,QualityControl_DisagreementResolution,QualityControl_UserRevision,ResponseDiversity_DiversityForAccuracy,ResponseDiversity_DiversityForCreativity,WorkflowFlexibility_TaskSpecificity,WorkflowFlexibility_ArchitectureRigidity,Architecture_Sequential,Architecture_Branching,Architecture_Redundant,Architecture_Dynamic,Architecture_Communicative,Subtasks_Generate,Subtasks_Evaluate,Subtasks_Transform,Subtasks_Focus,Subtasks_Partition,Workers_Crowdworkers,Workers_LLMs,Workers_User
Tweetorial Hooks: Generative AI Tools to Motivate Science on Social Media,LLM chain,https://www.semanticscholar.org/reader/d6390cd37c6502dd75b23e1648f78476240baad0,ICCC,2023,write a hook,no,no,yes,no,no,no,yes,no,no,no,no,no,task specific,rigid,yes,no,neither,no,no,yes,no,no,no,no,no,yes,no
Revolt: Collaborative Crowdsourcing for Labeling Machine Learning Datasets,Crowdsourcing workflow,https://www.microsoft.com/en-us/research/wp-content/uploads/2017/04/pn4864-changA.pdf,CHI,2017,labeling,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,task specific,rigid,yes,no,parallel,no,yes,yes,yes,no,no,no,yes,no,yes
Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,LLM chain,https://arxiv.org/pdf/2205.09712.pdf,arxiv,2022,logical reasoning,yes,no,no,no,no,no,yes,no,no,no,no,no,task flexible,rigid,yes,no,iterative,no,no,yes,no,no,yes,no,no,yes,no
Iteratively Prompt Pre-trained Language Models for Chain of Thought,LLM chain,https://aclanthology.org/2022.emnlp-main.174.pdf,EMNLP,2022,multi-hop QA,yes,no,no,no,no,no,no,no,no,no,no,no,task specific,dynamic - number of iterations,yes,no,iterative,yes,no,yes,yes,yes,no,no,no,yes,no
Ai chain on large language model for unsupervised control flow graph generation for statically-typed partial code,LLM chain,https://arxiv.org/pdf/2306.00757.pdf,arxiv,2023,control flow graph generation,yes,no,no,no,no,no,yes,no,no,no,no,no,task specific,dynamic - other,yes,no,neither,yes,no,yes,no,yes,yes,yes,no,yes,no
An Empirical Study on Challenging Math Problem Solving with GPT-4,LLM chain,https://arxiv.org/pdf/2306.01337.pdf,arxiv,2023,advanced math,yes,no,no,no,no,no,no,yes,no,no,no,no,task specific,dynamic - other,yes,yes,iterative,yes,yes,yes,no,no,no,no,no,yes,no
Collaboratively crowdsourcing workflows with turkomatic,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2145204.2145354,CSCW,2012,"essay-writing, blog creation, natural-language query tasks",yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,task flexible,dynamic - other,yes,no,parallel,yes,no,yes,yes,yes,no,yes,yes,no,yes
StateLens: A Reverse Engineering Solution for Making Existing Dynamic Touchscreens Accessible,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3332165.3347873,UIST,2019,label image areas OCR,yes,no,no,no,no,no,no,yes,yes,no,yes,no,task specific,rigid,yes,no,parallel,no,yes,yes,yes,yes,no,no,yes,no,no
Wish: Amplifying Creative Ability with Expert Crowds,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13166/13014,HCOMP,2014,"writing suggestions, code, art",no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,task flexible,dynamic - other,yes,yes,iterative,yes,yes,yes,yes,yes,no,no,yes,no,yes
The Jabberwocky Programming Environment for Structured Social Computing,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2047196.2047203,UIST,2011,"journal transcription, recommender, image tagging",yes,yes,no,no,no,no,no,no,yes,no,no,no,task flexible,rigid,yes,yes,parallel,no,no,yes,yes,yes,no,yes,yes,no,no
More than a Feeling: The MiFace Framework for Defining Facial Communication Mappings,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/3126594.3126640,UIST,2017,name expressions,no,yes,no,no,no,no,no,yes,yes,no,yes,no,task specific,rigid,yes,no,parallel,no,no,yes,yes,no,no,no,yes,no,no
PromptChainer: Chaining Large Language Model Prompts through Visual Programming,LLM chain,https://dl.acm.org/doi/pdf/10.1145/3491101.3519729,CHI,2022,generic,yes*,yes*,yes*,no,no,yes,yes,no,no,no,no,no,task flexible,rigid,yes,yes,parallel,no,no,yes*,yes*,yes*,yes*,yes*,no,yes,no
AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts,LLM chain,https://dl.acm.org/doi/10.1145/3491102.3517582,CHI,2022,"peer review writing, personalized flashcard creation",no,yes,no,no,no,yes,yes,yes,no,no,no,no,task flexible,rigid,yes,no,neither,no,no,yes*,yes*,yes*,yes*,yes*,no,yes,no
EURECA: Enhanced Understanding ofReal Environments via Crowd Assistance,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13339/13187,HCOMP,2018,3D point cloud segments,yes,no,no,no,yes,no,no,no,no,no,no,no,task specific,dynamic - split input,yes,no,neither,yes,yes,yes,no,yes,no,no,yes,no,no
VISAR: A Human-AI Argumentative Writing Assistant with Visual Programming and Rapid Draft Prototyping,LLM chain,https://www.semanticscholar.org/reader/e16e13f9a59e777aefeec14fca3d43cea3af2cd9,UIST,2023,argumentative writing,no,no,yes,no,no,no,no,no,no,yes,no,yes,task specific,dynamic - other,yes,no,iterative,yes,no,yes,no,yes,no,no,no,yes,yes
Crowds in Two Seconds: Enabling Realtime Crowd-Powered Interfaces,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2047196.2047201,UIST,2011,"verb selection, relevent frame selection",yes,yes,no,no,yes,no,no,no,yes,no,yes,no,task flexible,dynamic - other,yes,no,both,yes,no,no,no,no,yes,no,yes,no,no
Guardian: A Crowd-Powered Spoken Dialog System for Web APIs,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13237/13085,HCOMP,2015,dialogue for web apis,no,yes,no,no,no,no,no,yes,no,no,no,no,task specific,dynamic - other,yes,no,neither,yes,no,yes,yes,no,no,no,yes,no,no
Re3: Generating Longer Stories With Recursive Reprompting and Revision,LLM chain,https://aclanthology.org/2022.emnlp-main.296.pdf,EMNLP,2022,creative long stories,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,task specific,rigid,yes,no,both,no,yes,yes,yes,yes,yes,no,no,yes,no
ITERATED DECOMPOSITION: IMPROVING SCIENCE Q&A BY SUPERVISING REASONING PROCESSES,LLM chain,https://www.semanticscholar.org/reader/d39023d4935f766d382bfbb6f87d87026737b8f7,arxiv,2023,"question answering, extracting participant flow, extracting placebos",yes,no,no,no,no,yes,no,no,no,no,no,no,task flexible,rigid,yes,no,neither,no,no,yes*,yes*,yes*,yes*,yes*,no,yes,no
"Video Digests: A Browsable, Skimmable Format for Informational Lecture Videos",Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2642918.2647400,UIST,2014,summarize lecture,no,yes,no,no,no,no,no,no,yes,no,yes,no,task specific,dynamic - split input,yes,no,parallel,yes,no,yes,yes,no,no,no,yes,no,no
AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation Framework,LLM chain,https://arxiv.org/abs/2308.08155,arxiv,2023,"coding, math, chess, dynamic group chat, retrieval augmented chat, online decisions",yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,task flexible,dynamic - other,yes,no,neither,yes,yes,yes*,yes*,yes*,yes*,yes*,no,yes,no
CrowdBand: An Automated Crowdsourcing Sound Composition System,Crowdsourcing workflow,https://ojs.aaai.org/index.php/HCOMP/article/view/13080/12928,HCOMP,2013,sound composition,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,task specific,rigid,yes,no,parallel,no,no,yes,yes,yes,no,no,yes,no,yes
Demonstration of Qurk: A Query Processor for Human Operators,Crowdsourcing workflow,https://dspace.mit.edu/bitstream/handle/1721.1/72373/Karger_Demonstration%20of%20Qurk.pdf?sequence=1&isAllowed=y,SIGMOD,2011,sorts and joins of database,yes,no,no,no,no,no,no,no,yes,no,yes,no,task specific,dynamic - number of iterations,yes,no,iterative,yes,no,no,yes,no,no,no,yes,no,no
Apparition: Crowdsourced User Interfaces That Come To Life As You Sketch Them,Crowdsourcing workflow,https://dl.acm.org/doi/pdf/10.1145/2702123.2702565,CHI,2015,prototyping,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,task specific,dynamic - other,yes,no,both,yes,yes,yes,yes,yes,no,no,yes,no,yes
Social Simulacra: Creating Populated Prototypes for Social Computing Systems,LLM chain,https://dl.acm.org/doi/pdf/10.1145/3526113.3545616,UIST,2022,prototyping online community rules,no,no,yes,no,no,no,no,no,no,yes,no,yes,task specific,dynamic - number of iterations,yes,no,both,yes,yes,yes,no,no,no,no,no,yes,yes
